entrada;tipo;numero_nf;documento;macro_item_informakon;grupo_fip_wave;valor_descontado;valor_a_descontar;valor_total_nf;medicoes
154581/001;NFS-e;3;NFS-e 3;ADMINISTRAÇÃO OBRA;19.1.1;8500.00;0.00;8500.00;med1=8500.00
155568/001;NFS-e;4;NFS-e 4;ADMINISTRAÇÃO OBRA;19.1.1;8500.00;0.00;8500.00;med2=8500.00
157039/001;NFS-e;5;NFS-e 5;ADMINISTRAÇÃO OBRA;19.1.1;8500.00;0.00;8500.00;med4=8500.00
158100/001;NFS-e;6;NFS-e 6;ADMINISTRAÇÃO OBRA;19.1.1;8500.00;0.00;8500.00;med4=8500.00
156283/001;NF-e;2144;NF-e 2144;ADMINISTRAÇÃO OBRA;19.1.1;0.00;6384.90;6384.90;
154780/001;NF-e;115309;NF-e 115309;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;139960.49;139960.49;
156471/001;NF-e;115812;NF-e 115812;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;12739.41;12739.41;
153996/001;NF-e;896743;NF-e 896743;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;12249.23;12249.23;
155560/001;NF-e;208930;NF-e 208930;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;7804.70;7804.70;
155098/001;NF-e;4413;NF-e 4413;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;7450.50;7450.50;
154768/001;NF-e;349255;NF-e 349255;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;5694.95;5694.95;
155202/001;NF-e;54613;NF-e 54613;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;4936.29;4936.29;
155619/001;NF-e;104132;NF-e 104132;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;4334.07;4334.07;
154663/001;NF-e;246277;NF-e 246277;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;3764.00;3764.00;
156833/001;NF-e;1318;NF-e 1318;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;3444.53;3444.53;
154767/001;NF-e;1236;NF-e 1236;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;3316.00;3316.00;
154735/001;NF-e;246647;NF-e 246647;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;3188.10;3188.10;
155648/001;NF-e;288062;NF-e 288062;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;3184.75;3184.75;
153997/001;NF-e;16977;NF-e 16977;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;3086.71;3086.71;
155667/001;NFS-e;2185;NFS-e 2185;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;2963.68;2963.68;
156974/002;NF-e;6150;NF-e 6150;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;966.85;966.85;
156565/001;NF-e;288203;NF-e 288203;FECHAMENTOS PASSAGENS VERTICAIS EM SHAFTS;19.1.2;0.00;669.51;669.51;
